"Coll_Word"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"exp_1"	"exp_2"	"exp_3"	"exp_4"	"exp_5"	"exp_6"	"exp_7"	"exp_8"	"exp_9"	"exp_10"	"exp_11"	"exp_12"	"pbin_1"	"pbin_2"	"pbin_3"	"pbin_4"	"pbin_5"	"pbin_6"	"pbin_7"	"pbin_8"	"pbin_9"	"pbin_10"	"pbin_11"	"pbin_12"	"SumAbsDev"	"LargestDev"
"严禁"	0	1	0	0	0	0	0	0	0	0	0	0	0.022	0.173	0.093	0.03	0.081	0.131	0.088	0.039	0.063	0.066	0.014	0.2	-0.01	0.761	-0.042	-0.013	-0.037	-0.061	-0.04	-0.017	-0.028	-0.03	-0.006	-0.097	1.142	"2"
"严苛"	0	0	0	0	0	0	1	0	0	0	0	0	0.022	0.173	0.093	0.03	0.081	0.131	0.088	0.039	0.063	0.066	0.014	0.2	-0.01	-0.083	-0.042	-0.013	-0.037	-0.061	1.056	-0.017	-0.028	-0.03	-0.006	-0.097	1.48	"7"
"严防"	0	1	0	0	0	1	0	0	0	0	0	0	0.044	0.347	0.186	0.061	0.163	0.262	0.176	0.078	0.126	0.132	0.027	0.399	-0.019	0.499	-0.085	-0.027	-0.074	0.611	-0.08	-0.035	-0.056	-0.059	-0.012	-0.194	1.751	"6"
"个案"	0	0	1	0	0	0	0	0	0	0	0	0	0.022	0.173	0.093	0.03	0.081	0.131	0.088	0.039	0.063	0.066	0.014	0.2	-0.01	-0.083	1.032	-0.013	-0.037	-0.061	-0.04	-0.017	-0.028	-0.03	-0.006	-0.097	1.454	"3"
"中长期"	0	0	0	0	1	0	0	0	0	0	0	0	0.022	0.173	0.093	0.03	0.081	0.131	0.088	0.039	0.063	0.066	0.014	0.2	-0.01	-0.083	-0.042	-0.013	1.089	-0.061	-0.04	-0.017	-0.028	-0.03	-0.006	-0.097	1.516	"5"
"临床"	0	0	0	0	0	0	0	0	1	0	0	0	0.022	0.173	0.093	0.03	0.081	0.131	0.088	0.039	0.063	0.066	0.014	0.2	-0.01	-0.083	-0.042	-0.013	-0.037	-0.061	-0.04	-0.017	1.202	-0.03	-0.006	-0.097	1.638	"9"
"买假"	0	0	0	0	0	0	1	0	0	0	0	0	0.022	0.173	0.093	0.03	0.081	0.131	0.088	0.039	0.063	0.066	0.014	0.2	-0.01	-0.083	-0.042	-0.013	-0.037	-0.061	1.056	-0.017	-0.028	-0.03	-0.006	-0.097	1.48	"7"
"予以"	0	1	0	0	0	0	0	0	0	0	0	0	0.022	0.173	0.093	0.03	0.081	0.131	0.088	0.039	0.063	0.066	0.014	0.2	-0.01	0.761	-0.042	-0.013	-0.037	-0.061	-0.04	-0.017	-0.028	-0.03	-0.006	-0.097	1.142	"2"
"争议"	0	0	1	0	0	0	0	0	0	0	0	0	0.022	0.173	0.093	0.03	0.081	0.131	0.088	0.039	0.063	0.066	0.014	0.2	-0.01	-0.083	1.032	-0.013	-0.037	-0.061	-0.04	-0.017	-0.028	-0.03	-0.006	-0.097	1.454	"3"
"事先"	1	0	0	0	0	0	0	0	0	0	0	0	0.022	0.173	0.093	0.03	0.081	0.131	0.088	0.039	0.063	0.066	0.014	0.2	1.661	-0.083	-0.042	-0.013	-0.037	-0.061	-0.04	-0.017	-0.028	-0.03	-0.006	-0.097	2.115	"1"
"二百六十八"	0	0	0	0	0	0	1	0	0	0	0	0	0.022	0.173	0.093	0.03	0.081	0.131	0.088	0.039	0.063	0.066	0.014	0.2	-0.01	-0.083	-0.042	-0.013	-0.037	-0.061	1.056	-0.017	-0.028	-0.03	-0.006	-0.097	1.48	"7"
"互信"	0	0	0	0	0	0	0	0	0	0	0	1	0.022	0.173	0.093	0.03	0.081	0.131	0.088	0.039	0.063	0.066	0.014	0.2	-0.01	-0.083	-0.042	-0.013	-0.037	-0.061	-0.04	-0.017	-0.028	-0.03	-0.006	0.7	1.067	"12"
"互动"	0	0	0	0	0	0	0	0	0	0	0	1	0.022	0.173	0.093	0.03	0.081	0.131	0.088	0.039	0.063	0.066	0.014	0.2	-0.01	-0.083	-0.042	-0.013	-0.037	-0.061	-0.04	-0.017	-0.028	-0.03	-0.006	0.7	1.067	"12"
"亡羊补牢"	0	0	0	0	0	0	0	1	0	0	0	0	0.022	0.173	0.093	0.03	0.081	0.131	0.088	0.039	0.063	0.066	0.014	0.2	-0.01	-0.083	-0.042	-0.013	-0.037	-0.061	-0.04	1.408	-0.028	-0.03	-0.006	-0.097	1.855	"8"
"交换"	0	0	0	0	0	0	0	1	0	0	0	0	0.022	0.173	0.093	0.03	0.081	0.131	0.088	0.039	0.063	0.066	0.014	0.2	-0.01	-0.083	-0.042	-0.013	-0.037	-0.061	-0.04	1.408	-0.028	-0.03	-0.006	-0.097	1.855	"8"
"交易"	0	0	1	0	0	0	0	1	0	1	0	0	0.066	0.52	0.278	0.091	0.244	0.393	0.263	0.117	0.188	0.198	0.041	0.599	-0.029	-0.248	0.596	-0.04	-0.111	-0.183	-0.12	0.948	-0.084	0.733	-0.018	-0.29	3.4	"8"
"交流"	0	0	0	0	0	0	0	0	0	0	0	1	0.022	0.173	0.093	0.03	0.081	0.131	0.088	0.039	0.063	0.066	0.014	0.2	-0.01	-0.083	-0.042	-0.013	-0.037	-0.061	-0.04	-0.017	-0.028	-0.03	-0.006	0.7	1.067	"12"
"人们"	0	0	0	0	0	0	0	0	0	0	0	1	0.022	0.173	0.093	0.03	0.081	0.131	0.088	0.039	0.063	0.066	0.014	0.2	-0.01	-0.083	-0.042	-0.013	-0.037	-0.061	-0.04	-0.017	-0.028	-0.03	-0.006	0.7	1.067	"12"
"人力部"	1	0	0	0	0	0	0	0	0	0	0	0	0.022	0.173	0.093	0.03	0.081	0.131	0.088	0.039	0.063	0.066	0.014	0.2	1.661	-0.083	-0.042	-0.013	-0.037	-0.061	-0.04	-0.017	-0.028	-0.03	-0.006	-0.097	2.115	"1"
"人性化"	0	0	1	0	0	0	0	0	0	0	0	0	0.022	0.173	0.093	0.03	0.081	0.131	0.088	0.039	0.063	0.066	0.014	0.2	-0.01	-0.083	1.032	-0.013	-0.037	-0.061	-0.04	-0.017	-0.028	-0.03	-0.006	-0.097	1.454	"3"
"人造"	0	0	0	0	0	0	0	0	1	0	0	0	0.022	0.173	0.093	0.03	0.081	0.131	0.088	0.039	0.063	0.066	0.014	0.2	-0.01	-0.083	-0.042	-0.013	-0.037	-0.061	-0.04	-0.017	1.202	-0.03	-0.006	-0.097	1.638	"9"
"介入"	0	0	1	0	0	0	0	0	0	0	0	0	0.022	0.173	0.093	0.03	0.081	0.131	0.088	0.039	0.063	0.066	0.014	0.2	-0.01	-0.083	1.032	-0.013	-0.037	-0.061	-0.04	-0.017	-0.028	-0.03	-0.006	-0.097	1.454	"3"
"付之阙如"	0	0	0	0	0	0	0	1	0	0	0	0	0.022	0.173	0.093	0.03	0.081	0.131	0.088	0.039	0.063	0.066	0.014	0.2	-0.01	-0.083	-0.042	-0.013	-0.037	-0.061	-0.04	1.408	-0.028	-0.03	-0.006	-0.097	1.855	"8"
"付款"	0	0	0	0	0	0	0	1	0	0	0	0	0.022	0.173	0.093	0.03	0.081	0.131	0.088	0.039	0.063	0.066	0.014	0.2	-0.01	-0.083	-0.042	-0.013	-0.037	-0.061	-0.04	1.408	-0.028	-0.03	-0.006	-0.097	1.855	"8"
"代行"	0	0	0	0	0	0	0	0	0	1	0	0	0.022	0.173	0.093	0.03	0.081	0.131	0.088	0.039	0.063	0.066	0.014	0.2	-0.01	-0.083	-0.042	-0.013	-0.037	-0.061	-0.04	-0.017	-0.028	1.181	-0.006	-0.097	1.615	"10"
"以"	0	0	46	0	0	2	1	3	0	9	0	10	1.551	12.307	6.59	2.164	5.782	9.303	6.234	2.778	4.458	4.684	0.969	14.181	-0.681	-5.87	29.525	-0.955	-2.619	-2.497	-1.94	0.277	-1.999	1.362	-0.424	-0.868	49.017	"3"
"以便"	0	0	0	0	0	0	0	1	0	0	0	0	0.022	0.173	0.093	0.03	0.081	0.131	0.088	0.039	0.063	0.066	0.014	0.2	-0.01	-0.083	-0.042	-0.013	-0.037	-0.061	-0.04	1.408	-0.028	-0.03	-0.006	-0.097	1.855	"8"
"以及"	0	0	0	0	0	0	0	0	0	0	0	3	0.066	0.52	0.278	0.091	0.244	0.393	0.263	0.117	0.188	0.198	0.041	0.599	-0.029	-0.248	-0.127	-0.04	-0.111	-0.183	-0.12	-0.052	-0.084	-0.089	-0.018	2.099	3.2	"12"
"以往"	0	0	1	0	0	0	0	0	0	0	0	2	0.066	0.52	0.278	0.091	0.244	0.393	0.263	0.117	0.188	0.198	0.041	0.599	-0.029	-0.248	0.596	-0.04	-0.111	-0.183	-0.12	-0.052	-0.084	-0.089	-0.018	0.984	2.554	"12"
"价值观"	0	0	0	0	0	0	0	0	0	0	0	1	0.022	0.173	0.093	0.03	0.081	0.131	0.088	0.039	0.063	0.066	0.014	0.2	-0.01	-0.083	-0.042	-0.013	-0.037	-0.061	-0.04	-0.017	-0.028	-0.03	-0.006	0.7	1.067	"12"
"休闲"	0	0	0	0	0	0	1	0	0	0	0	0	0.022	0.173	0.093	0.03	0.081	0.131	0.088	0.039	0.063	0.066	0.014	0.2	-0.01	-0.083	-0.042	-0.013	-0.037	-0.061	1.056	-0.017	-0.028	-0.03	-0.006	-0.097	1.48	"7"
"优惠"	0	1	0	0	1	0	0	0	0	0	0	0	0.044	0.347	0.186	0.061	0.163	0.262	0.176	0.078	0.126	0.132	0.027	0.399	-0.019	0.499	-0.085	-0.027	0.806	-0.122	-0.08	-0.035	-0.056	-0.059	-0.012	-0.194	1.994	"5"
"优良"	0	0	0	0	0	0	1	0	0	0	0	1	0.044	0.347	0.186	0.061	0.163	0.262	0.176	0.078	0.126	0.132	0.027	0.399	-0.019	-0.165	-0.085	-0.027	-0.074	-0.122	0.775	-0.035	-0.056	-0.059	-0.012	0.444	1.873	"7"
"传播"	0	0	0	0	0	0	0	0	1	0	0	0	0.022	0.173	0.093	0.03	0.081	0.131	0.088	0.039	0.063	0.066	0.014	0.2	-0.01	-0.083	-0.042	-0.013	-0.037	-0.061	-0.04	-0.017	1.202	-0.03	-0.006	-0.097	1.638	"9"
"传染"	0	0	0	0	0	1	0	0	0	0	0	0	0.022	0.173	0.093	0.03	0.081	0.131	0.088	0.039	0.063	0.066	0.014	0.2	-0.01	-0.083	-0.042	-0.013	-0.037	0.883	-0.04	-0.017	-0.028	-0.03	-0.006	-0.097	1.286	"6"
"传统"	0	0	0	0	0	0	0	0	0	0	0	3	0.066	0.52	0.278	0.091	0.244	0.393	0.263	0.117	0.188	0.198	0.041	0.599	-0.029	-0.248	-0.127	-0.04	-0.111	-0.183	-0.12	-0.052	-0.084	-0.089	-0.018	2.099	3.2	"12"
"传输"	0	0	1	0	0	0	2	0	0	0	0	0	0.066	0.52	0.278	0.091	0.244	0.393	0.263	0.117	0.188	0.198	0.041	0.599	-0.029	-0.248	0.596	-0.04	-0.111	-0.183	1.662	-0.052	-0.084	-0.089	-0.018	-0.29	3.402	"7"
"传达"	0	0	1	0	0	0	0	0	0	0	0	0	0.022	0.173	0.093	0.03	0.081	0.131	0.088	0.039	0.063	0.066	0.014	0.2	-0.01	-0.083	1.032	-0.013	-0.037	-0.061	-0.04	-0.017	-0.028	-0.03	-0.006	-0.097	1.454	"3"
"传销"	0	0	1	0	0	0	0	0	0	0	0	0	0.022	0.173	0.093	0.03	0.081	0.131	0.088	0.039	0.063	0.066	0.014	0.2	-0.01	-0.083	1.032	-0.013	-0.037	-0.061	-0.04	-0.017	-0.028	-0.03	-0.006	-0.097	1.454	"3"
"估算"	0	0	0	0	0	0	0	0	0	1	0	0	0.022	0.173	0.093	0.03	0.081	0.131	0.088	0.039	0.063	0.066	0.014	0.2	-0.01	-0.083	-0.042	-0.013	-0.037	-0.061	-0.04	-0.017	-0.028	1.181	-0.006	-0.097	1.615	"10"
"低调"	0	0	0	0	0	0	0	0	0	1	0	0	0.022	0.173	0.093	0.03	0.081	0.131	0.088	0.039	0.063	0.066	0.014	0.2	-0.01	-0.083	-0.042	-0.013	-0.037	-0.061	-0.04	-0.017	-0.028	1.181	-0.006	-0.097	1.615	"10"
"体温计"	0	0	0	0	0	0	0	0	0	0	0	1	0.022	0.173	0.093	0.03	0.081	0.131	0.088	0.039	0.063	0.066	0.014	0.2	-0.01	-0.083	-0.042	-0.013	-0.037	-0.061	-0.04	-0.017	-0.028	-0.03	-0.006	0.7	1.067	"12"
"何"	0	0	0	0	0	0	0	1	0	0	0	0	0.022	0.173	0.093	0.03	0.081	0.131	0.088	0.039	0.063	0.066	0.014	0.2	-0.01	-0.083	-0.042	-0.013	-0.037	-0.061	-0.04	1.408	-0.028	-0.03	-0.006	-0.097	1.855	"8"
"作业"	0	0	1	0	0	0	0	0	0	0	0	1	0.044	0.347	0.186	0.061	0.163	0.262	0.176	0.078	0.126	0.132	0.027	0.399	-0.019	-0.165	0.752	-0.027	-0.074	-0.122	-0.08	-0.035	-0.056	-0.059	-0.012	0.444	1.845	"3"
