"Coll_Word"	"1"	"2"	"exp_1"	"exp_2"	"pbin_1"	"pbin_2"	"SumAbsDev"	"LargestDev"
"下列"	0	2	0.193	1.807	-0.088	0.088	0.176	"1_&_2"
"下去"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"下旬"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"下降"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"不免"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"不出"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"不利"	0	3	0.29	2.71	-0.132	0.132	0.264	"1_&_2"
"不可能"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"不同"	0	2	0.193	1.807	-0.088	0.088	0.176	"1_&_2"
"不如"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"不安"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"不容"	0	2	0.193	1.807	-0.088	0.088	0.176	"1_&_2"
"不寻常"	1	0	0.097	0.903	1.015	-1.015	2.03	"1_&_2"
"不振"	1	0	0.097	0.903	1.015	-1.015	2.03	"1_&_2"
"不断"	0	2	0.193	1.807	-0.088	0.088	0.176	"1_&_2"
"不清"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"不符"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"不至于"	1	0	0.097	0.903	1.015	-1.015	2.03	"1_&_2"
"不良贷款"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"不详"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"不足"	1	0	0.097	0.903	1.015	-1.015	2.03	"1_&_2"
"不错"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"与会"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"世界"	0	4	0.386	3.614	-0.177	0.177	0.354	"1_&_2"
"世界贸易组织"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"业务局"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"东北亚"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"丢失"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"两国"	0	2	0.193	1.807	-0.088	0.088	0.176	"1_&_2"
"两岸"	0	8	0.773	7.227	-0.353	0.353	0.706	"1_&_2"
"严"	0	2	0.193	1.807	-0.088	0.088	0.176	"1_&_2"
"严峻"	0	4	0.386	3.614	-0.177	0.177	0.354	"1_&_2"
"严重"	0	13	1.256	11.744	-0.574	0.574	1.148	"1_&_2"
"个别"	0	2	0.193	1.807	-0.088	0.088	0.176	"1_&_2"
"中东"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"中共"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"中南部"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"中国家"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"中国队"	0	2	0.193	1.807	-0.088	0.088	0.176	"1_&_2"
"中法"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"中美关系"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"中美台"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"中美洲"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"为由"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"主义"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"主管"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"主队"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"举例"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"义消"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"之下"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"之后"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"乎"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"乐观"	0	7	0.676	6.324	-0.309	0.309	0.618	"1_&_2"
"九五"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"乡镇工"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"书面"	0	2	0.193	1.807	-0.088	0.088	0.176	"1_&_2"
"了解"	0	12	1.159	10.841	-0.53	0.53	1.06	"1_&_2"
"二十日"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"二氧化硫"	0	2	0.193	1.807	-0.088	0.088	0.176	"1_&_2"
"亏损"	1	0	0.097	0.903	1.015	-1.015	2.03	"1_&_2"
"互"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"互访"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"亚太"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"亚欧"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"亚齐"	0	2	0.193	1.807	-0.088	0.088	0.176	"1_&_2"
"交换"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"交通"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"产生"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"人权"	0	2	0.193	1.807	-0.088	0.088	0.176	"1_&_2"
"人道"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"今年"	0	4	0.386	3.614	-0.177	0.177	0.354	"1_&_2"
"介绍"	0	7	0.676	6.324	-0.309	0.309	0.618	"1_&_2"
"仍"	0	3	0.29	2.71	-0.132	0.132	0.264	"1_&_2"
"仍旧"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"仍然"	0	2	0.193	1.807	-0.088	0.088	0.176	"1_&_2"
"从旁"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"代尔塔"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"以"	0	6	0.58	5.42	-0.265	0.265	0.53	"1_&_2"
"以及"	0	4	0.386	3.614	-0.177	0.177	0.354	"1_&_2"
"以来"	0	4	0.386	3.614	-0.177	0.177	0.354	"1_&_2"
"仪器"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"任何"	0	2	0.193	1.807	-0.088	0.088	0.176	"1_&_2"
"任务"	0	2	0.193	1.807	-0.088	0.088	0.176	"1_&_2"
"任由"	1	0	0.097	0.903	1.015	-1.015	2.03	"1_&_2"
"企"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"企鹅"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"伊"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"伊北"	0	2	0.193	1.807	-0.088	0.088	0.176	"1_&_2"
"伊北库"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"伊战"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"伊拉克"	0	9	0.87	8.13	-0.397	0.397	0.794	"1_&_2"
"优于"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"会谈"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"伤亡"	0	2	0.193	1.807	-0.088	0.088	0.176	"1_&_2"
"住宿"	1	0	0.097	0.903	1.015	-1.015	2.03	"1_&_2"
"体"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"体能"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"何"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"作好"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"使"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"供应"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"供求"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"供需"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"依旧"	1	0	0.097	0.903	1.015	-1.015	2.03	"1_&_2"
"依然"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"俄"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"俄国人"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"保密"	0	2	0.193	1.807	-0.088	0.088	0.176	"1_&_2"
"保持"	0	4	0.386	3.614	-0.177	0.177	0.354	"1_&_2"
"保暖"	0	2	0.193	1.807	-0.088	0.088	0.176	"1_&_2"
"保险套"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"信用"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"信贷"	1	0	0.097	0.903	1.015	-1.015	2.03	"1_&_2"
"倒置"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"倒阁案"	1	0	0.097	0.903	1.015	-1.015	2.03	"1_&_2"
"借助"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"偏快"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"停战"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"停水"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"停电"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"健康"	0	11	1.063	9.937	-0.485	0.485	0.97	"1_&_2"
"允许"	2	0	0.193	1.807	2.03	-2.03	4.06	"1_&_2"
"克联邦"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"党校"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"入"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"入市"	2	0	0.193	1.807	2.03	-2.03	4.06	"1_&_2"
"入院"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"全球化"	1	1	0.193	1.807	0.735	-0.735	1.47	"1_&_2"
"全面"	0	2	0.193	1.807	-0.088	0.088	0.176	"1_&_2"
"八十年代"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"八成九"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"公众"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"公佈"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"公卖局"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"共同"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"共同体"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"共识"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"关切"	0	2	0.193	1.807	-0.088	0.088	0.176	"1_&_2"
"关注"	0	2	0.193	1.807	-0.088	0.088	0.176	"1_&_2"
"关系"	0	2	0.193	1.807	-0.088	0.088	0.176	"1_&_2"
"兴起"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"兵力"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"具体"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"典型肺"	0	2	0.193	1.807	-0.088	0.088	0.176	"1_&_2"
"兹巴里"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"内亚比绍"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"内衣"	0	3	0.29	2.71	-0.132	0.132	0.264	"1_&_2"
"军事"	0	2	0.193	1.807	-0.088	0.088	0.176	"1_&_2"
"军备"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"军队"	0	3	0.29	2.71	-0.132	0.132	0.264	"1_&_2"
"农村"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"冲突"	0	2	0.193	1.807	-0.088	0.088	0.176	"1_&_2"
"决"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"准备"	0	2	0.193	1.807	-0.088	0.088	0.176	"1_&_2"
"准证"	1	1	0.193	1.807	0.735	-0.735	1.47	"1_&_2"
"凌"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"减"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"几乎"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"出"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"出口"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"出国"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"出牌"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"出现"	1	23	2.319	21.681	-0.507	0.507	1.014	"1_&_2"
"出货"	0	2	0.193	1.807	-0.088	0.088	0.176	"1_&_2"
"分割"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"分析"	0	4	0.386	3.614	-0.177	0.177	0.354	"1_&_2"
"分组"	0	2	0.193	1.807	-0.088	0.088	0.176	"1_&_2"
"刘泰英"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"刘淇"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"刚果"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"判"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"利率"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"制定"	1	0	0.097	0.903	1.015	-1.015	2.03	"1_&_2"
"制止"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"制订"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"制造业"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"刻意"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"前"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"前景"	0	2	0.193	1.807	-0.088	0.088	0.176	"1_&_2"
"办案"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"办理"	0	3	0.29	2.71	-0.132	0.132	0.264	"1_&_2"
"加入"	0	2	0.193	1.807	-0.088	0.088	0.176	"1_&_2"
"加剧"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"劣势"	1	0	0.097	0.903	1.015	-1.015	2.03	"1_&_2"
"动武"	1	0	0.097	0.903	1.015	-1.015	2.03	"1_&_2"
"动荡"	0	2	0.193	1.807	-0.088	0.088	0.176	"1_&_2"
"努力"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"势头"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"勉励"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"化疗"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"北京"	0	3	0.29	2.71	-0.132	0.132	0.264	"1_&_2"
"区域"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"十分"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"十足"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"升高"	0	2	0.193	1.807	-0.088	0.088	0.176	"1_&_2"
"半"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"半岛"	0	2	0.193	1.807	-0.088	0.088	0.176	"1_&_2"
"华商"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"华文"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"单调"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"南斯拉夫"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"南热北冷"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"南联"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"南部"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"卢萨卡"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"卫生"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"卫生厅"	1	0	0.097	0.903	1.015	-1.015	2.03	"1_&_2"
"危急"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"危机"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"危险"	0	4	0.386	3.614	-0.177	0.177	0.354	"1_&_2"
"县委"	1	0	0.097	0.903	1.015	-1.015	2.03	"1_&_2"
"及"	0	3	0.29	2.71	-0.132	0.132	0.264	"1_&_2"
"及时"	0	3	0.29	2.71	-0.132	0.132	0.264	"1_&_2"
"双方"	0	2	0.193	1.807	-0.088	0.088	0.176	"1_&_2"
"双赢"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"反其道而行"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"反击"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"反映"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"发展"	1	18	1.836	17.164	-0.357	0.357	0.714	"1_&_2"
"发生"	1	10	1.063	9.937	-0.148	0.148	0.296	"1_&_2"
"发育"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"受伤"	1	0	0.097	0.903	1.015	-1.015	2.03	"1_&_2"
"受损"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"受访者"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"受骗"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"变动"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"变化"	1	4	0.483	4.517	0.4	-0.4	0.8	"1_&_2"
"变得"	0	4	0.386	3.614	-0.177	0.177	0.354	"1_&_2"
"变数"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"古"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"可吸入颗粒物"	0	2	0.193	1.807	-0.088	0.088	0.176	"1_&_2"
"可能"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"台大"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"台海"	0	4	0.386	3.614	-0.177	0.177	0.354	"1_&_2"
"台湾"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"台湾海崃"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"吃惊"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"各别"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"各自"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"合实"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"合适"	1	0	0.097	0.903	1.015	-1.015	2.03	"1_&_2"
"吉斯"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"同日而语"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"同额"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"名称"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"后续"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"向导"	1	0	0.097	0.903	1.015	-1.015	2.03	"1_&_2"
"否"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"听取"	1	1	0.193	1.807	0.735	-0.735	1.47	"1_&_2"
"呈"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"呈现"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"周遭"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"呼吁"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"和平"	0	3	0.29	2.71	-0.132	0.132	0.264	"1_&_2"
"哄"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"商讨"	0	2	0.193	1.807	-0.088	0.088	0.176	"1_&_2"
"善用"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"喜人"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"回到"	0	2	0.193	1.807	-0.088	0.088	0.176	"1_&_2"
"回升"	0	2	0.193	1.807	-0.088	0.088	0.176	"1_&_2"
"因应"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"因而"	0	2	0.193	1.807	-0.088	0.088	0.176	"1_&_2"
"困难"	1	3	0.386	3.614	0.476	-0.476	0.952	"1_&_2"
"国内"	0	3	0.29	2.71	-0.132	0.132	0.264	"1_&_2"
"国防"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"国防部部"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"国际"	0	3	0.29	2.71	-0.132	0.132	0.264	"1_&_2"
"国际观"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"圣多"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"在先"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"地区"	0	6	0.58	5.42	-0.265	0.265	0.53	"1_&_2"
"地消"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"地表水"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"地质"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"坏账"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"坚定"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"垂直"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"垄断"	0	2	0.193	1.807	-0.088	0.088	0.176	"1_&_2"
"埃博拉病毒"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"埃及"	0	2	0.193	1.807	-0.088	0.088	0.176	"1_&_2"
"城市"	0	3	0.29	2.71	-0.132	0.132	0.264	"1_&_2"
"基本"	0	2	0.193	1.807	-0.088	0.088	0.176	"1_&_2"
"塞尔维亚"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"塞拉利昂"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"增长"	0	7	0.676	6.324	-0.309	0.309	0.618	"1_&_2"
"增长率"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"声夹声"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"声明"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"声言"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"处于"	0	10	0.966	9.034	-0.441	0.441	0.882	"1_&_2"
"处分"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"处理"	0	2	0.193	1.807	-0.088	0.088	0.176	"1_&_2"
"处置"	0	2	0.193	1.807	-0.088	0.088	0.176	"1_&_2"
"备战"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"复"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"复杂"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"复甦"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"复苏"	0	2	0.193	1.807	-0.088	0.088	0.176	"1_&_2"
"夏隆"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"外交"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"外商"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"外汇"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"外界"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"外移"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"外贸"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"大众"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"大厂"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"大大"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"大好"	1	0	0.097	0.903	1.015	-1.015	2.03	"1_&_2"
"大幅"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"大陆"	0	3	0.29	2.71	-0.132	0.132	0.264	"1_&_2"
"央行"	0	4	0.386	3.614	-0.177	0.177	0.354	"1_&_2"
"失业"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"失地"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"失控"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"失调"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"奇特"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"奋起"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"女足"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"好"	0	2	0.193	1.807	-0.088	0.088	0.176	"1_&_2"
"好转"	0	6	0.58	5.42	-0.265	0.265	0.53	"1_&_2"
"如"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"如下"	0	2	0.193	1.807	-0.088	0.088	0.176	"1_&_2"
"如何"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"如实"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"嫁娶"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"存款"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"孙女士"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"孤立"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"安"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"安全"	0	5	0.483	4.517	-0.221	0.221	0.442	"1_&_2"
"完全"	0	3	0.29	2.71	-0.132	0.132	0.264	"1_&_2"
"完成"	1	0	0.097	0.903	1.015	-1.015	2.03	"1_&_2"
"定"	1	4	0.483	4.517	0.4	-0.4	0.8	"1_&_2"
