"Coll_Word"	"1"	"2"	"exp_1"	"exp_2"	"pbin_1"	"pbin_2"	"SumAbsDev"	"LargestDev"
"以色列"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"价量"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"任何"	2	2	0.469	3.531	1.155	-1.155	2.31	"1_&_2"
"伊拉克"	0	20	2.343	17.657	-1.082	1.082	2.164	"1_&_2"
"伊里"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"休克"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"传染性"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"伤亡"	0	2	0.234	1.766	-0.108	0.108	0.216	"1_&_2"
"伦理"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"估"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"估算"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"体"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"何"	1	0	0.117	0.883	0.931	-0.931	1.862	"1_&_2"
"何等"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"作业"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"作好"	0	2	0.234	1.766	-0.108	0.108	0.216	"1_&_2"
"使"	0	4	0.469	3.531	-0.216	0.216	0.432	"1_&_2"
"使得"	0	2	0.234	1.766	-0.108	0.108	0.216	"1_&_2"
"使用"	0	2	0.234	1.766	-0.108	0.108	0.216	"1_&_2"
"例外"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"供"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"供应"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"供求"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"供给"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"供需"	0	3	0.351	2.649	-0.162	0.162	0.324	"1_&_2"
"依然"	2	2	0.469	3.531	1.155	-1.155	2.31	"1_&_2"
"俄"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"保户"	0	2	0.234	1.766	-0.108	0.108	0.216	"1_&_2"
"保持"	0	9	1.054	7.946	-0.487	0.487	0.974	"1_&_2"
"信用卡"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"信用部"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"修订"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"俯首"	1	0	0.117	0.883	0.931	-0.931	1.862	"1_&_2"
"俱备"	1	0	0.117	0.883	0.931	-0.931	1.862	"1_&_2"
"倍加"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"值班"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"偏低"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"停业"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"停顿"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"健康"	0	4	0.469	3.531	-0.216	0.216	0.432	"1_&_2"
"傻子"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"僵持"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"儿童"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"允许"	0	2	0.234	1.766	-0.108	0.108	0.216	"1_&_2"
"党"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"入"	0	2	0.234	1.766	-0.108	0.108	0.216	"1_&_2"
"全"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"全方位"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"全省"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"八十九年度"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"公布"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"公诸于世"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"共同"	0	2	0.234	1.766	-0.108	0.108	0.216	"1_&_2"
"共餐"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"关切"	0	2	0.234	1.766	-0.108	0.108	0.216	"1_&_2"
"关厂"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"关心"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"关注"	0	3	0.351	2.649	-0.162	0.162	0.324	"1_&_2"
"关渡师"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"关系"	0	4	0.469	3.531	-0.216	0.216	0.432	"1_&_2"
"兵法"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"具体"	0	2	0.234	1.766	-0.108	0.108	0.216	"1_&_2"
"典型"	1	1	0.234	1.766	0.656	-0.656	1.312	"1_&_2"
"典型肺"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"兼任"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"内闹"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"再度"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"军队"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"农会"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"农村"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"农渔会"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"冬虫"	1	0	0.117	0.883	0.931	-0.931	1.862	"1_&_2"
"冲击"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"准备"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"出"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"出入境"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"出发点"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"出口"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"出游"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"出现"	1	15	1.875	14.125	-0.371	0.371	0.742	"1_&_2"
"出货"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"分佈"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"分割"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"分布"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"分析"	0	5	0.586	4.414	-0.271	0.271	0.542	"1_&_2"
"分治"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"分离"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"分类"	1	1	0.234	1.766	0.656	-0.656	1.312	"1_&_2"
"分组"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"分裂"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"分配"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"刘家"	1	0	0.117	0.883	0.931	-0.931	1.862	"1_&_2"
"初选"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"判"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"判断"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"利"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"利于"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"利雅得"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"到时"	0	2	0.234	1.766	-0.108	0.108	0.216	"1_&_2"
"制定"	0	2	0.234	1.766	-0.108	0.108	0.216	"1_&_2"
"制造"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"制造业"	0	2	0.234	1.766	-0.108	0.108	0.216	"1_&_2"
"前"	0	2	0.234	1.766	-0.108	0.108	0.216	"1_&_2"
"前所未有"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"割据"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"加上"	0	2	0.234	1.766	-0.108	0.108	0.216	"1_&_2"
"加剧"	0	2	0.234	1.766	-0.108	0.108	0.216	"1_&_2"
"加强"	0	3	0.351	2.649	-0.162	0.162	0.324	"1_&_2"
"加快"	0	2	0.234	1.766	-0.108	0.108	0.216	"1_&_2"
"加班"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"动荡"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"劲"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"劳资"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"势必"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"匆忙"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"化"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"北部"	0	2	0.234	1.766	-0.108	0.108	0.216	"1_&_2"
"区分"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"区域"	0	2	0.234	1.766	-0.108	0.108	0.216	"1_&_2"
"十分"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"十字韧"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"升级"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"升高"	0	2	0.234	1.766	-0.108	0.108	0.216	"1_&_2"
"半"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"协调"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"单方面"	1	0	0.117	0.883	0.931	-0.931	1.862	"1_&_2"
"南"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"南北"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"南斯拉夫"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"危急"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"危难"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"去除"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"县府"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"参加者"	0	2	0.234	1.766	-0.108	0.108	0.216	"1_&_2"
"参院"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"及"	0	2	0.234	1.766	-0.108	0.108	0.216	"1_&_2"
"双方"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"双赢"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"反"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"反之"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"反击"	1	0	0.117	0.883	0.931	-0.931	1.862	"1_&_2"
"反恐"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"反映"	0	5	0.586	4.414	-0.271	0.271	0.542	"1_&_2"
"发展"	0	19	2.226	16.774	-1.028	1.028	2.056	"1_&_2"
"发球"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"发生"	0	7	0.82	6.18	-0.379	0.379	0.758	"1_&_2"
"发电"	1	0	0.117	0.883	0.931	-0.931	1.862	"1_&_2"
"发病"	0	2	0.234	1.766	-0.108	0.108	0.216	"1_&_2"
"发芽"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"发难"	1	0	0.117	0.883	0.931	-0.931	1.862	"1_&_2"
"发高烧"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"取胜"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"受到"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"受到控"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"受损"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"变化"	1	6	0.82	6.18	0.235	-0.235	0.47	"1_&_2"
"变革"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"叙"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"叙利亚"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"古物"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"召开"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"可期"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"可疑"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"可能"	1	1	0.234	1.766	0.656	-0.656	1.312	"1_&_2"
"台海"	0	2	0.234	1.766	-0.108	0.108	0.216	"1_&_2"
"台湾"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"台股"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"合作"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"同期"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"后市"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"后期"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"后续"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"吸食"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"呈"	0	2	0.234	1.766	-0.108	0.108	0.216	"1_&_2"
"呈现"	0	2	0.234	1.766	-0.108	0.108	0.216	"1_&_2"
"呈现出"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"周边国"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"周阳山"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"呼吁"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"哄"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"哈尔滨"	0	2	0.234	1.766	-0.108	0.108	0.216	"1_&_2"
"唯有"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"唿吁"	0	2	0.234	1.766	-0.108	0.108	0.216	"1_&_2"
"善"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"喜人"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"回到"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"因"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"因素"	0	2	0.234	1.766	-0.108	0.108	0.216	"1_&_2"
"因而"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"团结"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"困窘"	1	1	0.234	1.766	0.656	-0.656	1.312	"1_&_2"
"困难"	0	4	0.469	3.531	-0.216	0.216	0.432	"1_&_2"
"国内"	0	6	0.703	5.297	-0.325	0.325	0.65	"1_&_2"
"国务卿"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"国防"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"国际"	0	10	1.172	8.828	-0.541	0.541	1.082	"1_&_2"
"土石"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"在任"	1	0	0.117	0.883	0.931	-0.931	1.862	"1_&_2"
"在先"	1	0	0.117	0.883	0.931	-0.931	1.862	"1_&_2"
"在野党"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"地区"	0	4	0.469	3.531	-0.216	0.216	0.432	"1_&_2"
"地铁线"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"坍落"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"坏"	1	1	0.234	1.766	0.656	-0.656	1.312	"1_&_2"
"坚定"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"埃斯特拉达"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"基本"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"基金"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"塞拉利昂"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"塞车"	0	2	0.234	1.766	-0.108	0.108	0.216	"1_&_2"
"填写"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"境内"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"增产"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"增压"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"增多"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"增强"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"增收"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"增长"	0	10	1.172	8.828	-0.541	0.541	1.082	"1_&_2"
"壁"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"处"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"处于"	0	8	0.937	7.063	-0.433	0.433	0.866	"1_&_2"
"备受"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"备战"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"复原"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"复杂"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"夏天"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"夏姆钖"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"外"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"外交"	0	2	0.234	1.766	-0.108	0.108	0.216	"1_&_2"
"外汇"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"外汇局"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"外贸"	0	3	0.351	2.649	-0.162	0.162	0.324	"1_&_2"
"外长"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"多头"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"多层次"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"大"	0	3	0.351	2.649	-0.162	0.162	0.324	"1_&_2"
"大于"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"大体"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"大出"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"大包大揽"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"大变"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"大好"	0	3	0.351	2.649	-0.162	0.162	0.324	"1_&_2"
"大总统"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"大案要案"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"大胜"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"大选"	0	2	0.234	1.766	-0.108	0.108	0.216	"1_&_2"
"大陆"	0	2	0.234	1.766	-0.108	0.108	0.216	"1_&_2"
"天津市"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"天王"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"太空船"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"央行"	0	1	0.117	0.883	-0.054	0.054	0.108	"1_&_2"
"失"	1	0	0.117	0.883	0.931	-0.931	1.862	"1_&_2"
"失业"	0	4	0.469	3.531	-0.216	0.216	0.432	"1_&_2"
"失业率"	0	2	0.234	1.766	-0.108	0.108	0.216	"1_&_2"
"失控"	0	3	0.351	2.649	-0.162	0.162	0.324	"1_&_2"
"失踪"	1	0	0.117	0.883	0.931	-0.931	1.862	"1_&_2"
